,编号,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),min_r,max_r
82,82,83,35,大白菜,水浇地,第二季,5000,2000,2.00-3.00,8000.0,13000.0
53,53,54,24,青椒,水浇地,第一季,2400,1600,4.00-6.50,8000.0,14000.0
83,83,84,36,白萝卜,水浇地,第二季,4000,500,2.00-3.00,7500.0,11500.0
84,84,85,37,红萝卜,水浇地,第二季,3000,500,2.50-4.00,7000.0,11500.0
92,92,93,20,土豆,智慧大棚,第二季,2200,2640,3.60-5.40,5280.0,9240.0
67,67,68,20,土豆,普通大棚 ,第一季,2400,2400,3.00-4.50,4800.0,8400.0
49,49,50,20,土豆,水浇地,第一季,2000,2000,3.00-4.50,4000.0,7000.0
12,12,13,13,红薯,平旱地,单季,2200,2000,2.50-4.00,3500.0,6800.0
27,27,28,13,红薯,梯田,单季,2100,2000,2.50-4.00,3250.0,6400.0
8,8,9,9,高粱,平旱地,单季,630,400,5.50-6.50,3065.0,3695.0
9,9,10,10,黍子,平旱地,单季,525,360,6.50-8.50,3052.5,4102.5
42,42,43,13,红薯,山坡地,单季,2000,2000,2.50-4.00,3000.0,6000.0
10,10,11,11,荞麦,平旱地,单季,110,350,30.00-50.00,2950.0,5150.0
23,23,24,9,高粱,梯田,单季,600,400,5.50-6.50,2900.0,3500.0
24,24,25,10,黍子,梯田,单季,500,360,6.50-8.50,2890.0,3890.0
1,1,2,2,黑豆,平旱地,单季,500,400,6.50-8.50,2850.0,3850.0
25,25,26,11,荞麦,梯田,单季,105,350,30.00-50.00,2800.0,4900.0
38,38,39,9,高粱,山坡地,单季,570,400,5.50-6.50,2735.0,3305.0
39,39,40,10,黍子,山坡地,单季,475,360,6.50-8.50,2727.5,3677.5
16,16,17,2,黑豆,梯田,单季,475,400,6.50-8.50,2687.5,3637.5
2,2,3,3,红豆,平旱地,单季,400,350,7.50-9.00,2650.0,3250.0
40,40,41,11,荞麦,山坡地,单季,100,350,30.00-50.00,2650.0,4650.0
31,31,32,2,黑豆,山坡地,单季,450,400,6.50-8.50,2525.0,3425.0
17,17,18,3,红豆,梯田,单季,380,350,7.50-9.00,2500.0,3070.0
32,32,33,3,红豆,山坡地,单季,360,350,7.50-9.00,2350.0,2890.0
45,45,46,16,水稻,水浇地,单季,500,680,6.00-8.00,2320.0,3320.0
4,4,5,5,爬豆,平旱地,单季,415,350,6.00-7.50,2140.0,2762.5
7,7,8,8,谷子,平旱地,单季,400,360,6.00-7.50,2040.0,2640.0
19,19,20,5,爬豆,梯田,单季,395,350,6.00-7.50,2020.0,2612.5
6,6,7,7,玉米,平旱地,单季,1000,500,2.50-3.50,2000.0,3000.0
11,11,12,12,南瓜,平旱地,单季,3000,1000,1.00-2.00,2000.0,5000.0
5,5,6,6,小麦,平旱地,单季,800,450,3.00-4.00,1950.0,2750.0
22,22,23,8,谷子,梯田,单季,380,360,6.00-7.50,1920.0,2490.0
34,34,35,5,爬豆,山坡地,单季,375,350,6.00-7.50,1900.0,2462.5
21,21,22,7,玉米,梯田,单季,950,500,2.50-3.50,1875.0,2825.0
26,26,27,12,南瓜,梯田,单季,2850,1000,1.00-2.00,1850.0,4700.0
20,20,21,6,小麦,梯田,单季,760,450,3.00-4.00,1830.0,2590.0
37,37,38,8,谷子,山坡地,单季,360,360,6.00-7.50,1800.0,2340.0
36,36,37,7,玉米,山坡地,单季,900,500,2.50-3.50,1750.0,2650.0
3,3,4,4,绿豆,平旱地,单季,350,350,6.00-8.00,1750.0,2450.0
35,35,36,6,小麦,山坡地,单季,720,450,3.00-4.00,1710.0,2430.0
13,13,14,14,莜麦,平旱地,单季,420,400,5.00-6.00,1700.0,2120.0
41,41,42,12,南瓜,山坡地,单季,2700,1000,1.00-2.00,1700.0,4400.0
18,18,19,4,绿豆,梯田,单季,330,350,6.00-8.00,1630.0,2290.0
28,28,29,14,莜麦,梯田,单季,400,400,5.00-6.00,1600.0,2000.0
33,33,34,4,绿豆,山坡地,单季,315,350,6.00-8.00,1540.0,2170.0
43,43,44,14,莜麦,山坡地,单季,380,400,5.00-6.00,1500.0,1880.0
14,14,15,15,大麦,平旱地,单季,525,350,3.00-4.00,1225.0,1750.0
29,29,30,15,大麦,梯田,单季,500,350,3.00-4.00,1150.0,1650.0
44,44,45,15,大麦,山坡地,单季,475,350,3.00-4.00,1075.0,1550.0
0,0,1,1,黄豆,平旱地,单季,400,400,2.50-4.00,600.0,1200.0
15,15,16,1,黄豆,梯田,单季,380,400,2.50-4.00,550.0,1120.0
30,30,31,1,黄豆,山坡地,单季,360,400,2.50-4.00,500.0,1040.0
