,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤)
93,94,21,西红柿,智慧大棚,第二季,2700,2640,6.00-9.00
94,95,22,茄子,智慧大棚,第二季,7200,2640,6.00-7.20
95,96,23,菠菜 ,智慧大棚,第二季,3000,3000,5.80-8.00
96,97,24,青椒,智慧大棚,第二季,2700,2200,5.80-7.80
97,98,25,菜花,智慧大棚,第二季,3600,3300,6.00-7.20
98,99,26,包菜,智慧大棚,第二季,4100,3850,6.60-9.00
99,100,27,油麦菜,智慧大棚,第二季,4500,2200,4.80-7.20
100,101,28,小青菜,智慧大棚,第二季,3600,2200,6.00-7.80
101,102,29,黄瓜,智慧大棚,第二季,13500,3850,7.20-9.60
102,103,30,生菜 ,智慧大棚,第二季,4500,2200,5.40-7.20
103,104,31,辣椒,智慧大棚,第二季,1800,1300,7.20-10.20
104,105,32,空心菜,智慧大棚,第二季,11000,5500,3.60-7.20
105,106,33,黄心菜,智慧大棚,第二季,5400,2750,4.80-6.00
106,107,34,芹菜,智慧大棚,第二季,6000,1200,3.80-5.80
